V,d,p,c1,c2,r2,pÌƒ,j
1.2027419218197932,27.703656833029616,0.0,false,false,false,0.0,1
1.075147895949145,26.275771622919024,0.0,false,false,false,0.0,1
0.9313659184439649,30.378364038034068,0.0,false,false,true,0.0,1
1.0761276167040825,29.045430133131287,0.0,false,false,true,0.0,1
1.157924142455271,26.6897777510207,0.0,false,false,true,0.0,1
1.2602159294494486,23.564996779476353,0.0,false,false,true,0.0,1
1.0691480410425707,24.302754839676016,0.0,false,true,false,0.0,1
0.9747923308125769,27.93962459498397,0.0,false,false,false,0.0,1
1.0864642002730331,29.43234468759983,0.0,false,false,true,0.0,1
0.8280195291069027,36.454816370348006,0.0,true,false,false,0.0,1
0.9938150611635577,25.882930650932604,0.0,false,false,false,0.0,1
1.1902971518664769,28.003360206792166,0.0,false,false,false,0.0,1
0.8440652135748151,27.186667855146023,0.0,false,false,true,0.0,1
1.1942135229240978,24.793572848996735,0.0,false,false,false,0.0,1
0.9749415395991344,32.231070524734776,0.0,false,false,false,0.0,1
1.0630157511408558,29.954964998040836,0.0,false,false,true,0.0,1
1.2088620878197598,28.88111761520257,0.0,false,false,false,0.0,1
1.1554818612875875,26.25362099456051,0.0,false,false,true,0.0,1
1.0683169195107736,26.66594108388161,0.0,false,false,false,0.0,1
1.1825776372250463,28.501424506184375,0.0,false,false,false,0.0,1
0.9216968403274366,21.43410899036141,5.000056366090773,false,false,false,5.125,2
0.9038509857862627,21.49017975132197,5.25003596784075,false,false,false,5.37498733358276,2
0.3543068600742174,25.487400244731294,6.25,false,false,true,6.189546924592175,2
0.7443615843260774,22.498270803257157,5.5,false,false,true,5.43255861288492,2
0.9204453025709346,20.470734056384202,4.75,false,false,true,4.735834317058153,2
0.8185203035625981,21.275447440483994,4.75,false,false,true,4.64249459776033,2
0.663460159111698,25.179971661184624,6.5,false,true,false,6.56955705314014,2
0.33270708470409316,26.91964183437916,6.75,false,false,false,6.77710246638078,2
0.723848557740205,25.53805792453679,7.0,false,false,true,6.8758529838688025,2
0.6844470209911019,21.98950570308865,5.5,true,false,false,5.50813576231531,2
0.6778781468474899,24.248051662239188,6.25,false,false,false,6.291796915708559,2
0.7395466413433043,24.37288297318075,6.000006846676847,false,false,false,6.1249742106215415,2
0.6944880579705579,23.729820384574147,6.4999977785530465,false,false,true,6.375047150072365,2
0.9026005539496791,20.93161210697483,4.75,false,false,false,4.838826807533771,2
0.6972541480874805,25.660159077369066,7.0,false,false,false,7.0883822269378065,2
0.4954034749087639,24.646645084956198,6.0,false,false,true,5.880590893610366,2
0.9095561199444187,22.33350651705032,5.5,false,false,false,5.527812278473579,2
0.8492111796989497,23.63584813451155,6.249953503069051,false,false,true,6.125016675359465,2
0.9170291009885081,22.16336314179665,5.75,false,false,false,5.763628709164413,2
0.6726866287469144,25.692005034400466,6.500134661603563,false,false,false,6.625,2
